Gennepper 1;Alli
Gennepper 2;Arse
Gennepper 3;Bell
Gennepper 4;Acon
Gennepper 5;Bryo
Gennepper 6;Bryo
Gennepper 7;Sepi
Gennepper 8;Lacc
Gennepper 9;Merc
Gennepper 10;Calc
Gennepper 11;Calc
Gennepper 12;Spig
Gennepper 13;Bryo
Gennepper 14;Cant
Gennepper 15;Nuxv
Gennepper 16;Lach
Gennepper 17;Rhus
Gennepper 18;Anti
Gennepper 19;Nuxv
Gennepper 20;Lach
Gennepper 21;Merc
Gennepper 22;Cant
Gennepper 23;Apis
Gennepper 24;Phos
Gennepper 25;Nuxv
Gennepper 26;Arse
Gennepper 27;Rume
Gennepper 28;Sepi
Gennepper 29;Rhus
Gennepper 30;Sili
Gennepper 31;Sepi
Gennepper 32;Natm
Gennepper 33;Phos
Gennepper 34;Sulf
Gennepper 35;Phos
Gennepper 36;Puls
Gennepper 37;Calc
Gennepper 38;Puls
1 Boger 1;Sepi
1 Boger 2;Arse
1 Boger 3;Puls
1 Boger 4;Lyco
1 Boger 5;Arse
1 Boger 6;Rhus
1 Boger 7;Sepi
1 Boger 8;Nita
1 Boger 9;Igna
1 Boger 10;Phos
1 Boger 11;Sepi
1 Boger 12;Caus
1 Boger 13;Rhus
1 Boger 14;Cimi
1 Boger 15;Caus
1 Boger 16;Arse
1 Boger 17;Natm
1 Boger 18;Acon
1 Boger 19;Sulp
1 Boger 20;Lyco
1 Boger 21;Kali
1 Boger 22;Merc
1 Boger 23;Phos
1 Boger 24;Lyco
1 Boger 26;Phos
1 Boger 27;Lyco
1 Boger 28;Calc
1 Boger 29;Natm
1 Boger 30;Sili
1 Boger 31;Thuj
1 Boger 32;Sele
1 Boger 33;Acmu
1 Boger 34;Saba
1 Boger 35;Phyt
1 Boger 36;Podo
1 Boger 37;Babt
1 Boger 38;Berb
1 Boger 39;Tell
1 Boger 40;Kali
1 Boger 41;Saba
1 Boger 42;Seca
Tils A;Apis
Tils B;Stan
Tils C;Natm
Tils D;Bryo
Tils E;Guaj
Tils F;Lacc
Tils 1;Sili
Tils 2;Antt
Tils 3;Cina
Tils 4;Coni
Tils 5;Natm
Tils 6;Sulf
Tils 7;Tara
Tils 8;Laur
Tils 9;Sulf
Tils 10;Stra
Tils 11;Rhus
Tils 12;Gels
Tils 13;Sili
Tils 14;Antt
Tils 15;Sulf
Tils 16;Nita
Tils 17;Caus
Tils 18;Sili
Tils 19;Sepi
Tils 20;Calc
Tils 21;Phos
Tils 22;Chin
Tils 23;Calc
Tils 24;Arni
Tils 25;Arse
Tils 26;Nita
Tils 27;Antt
Tils 28;Cupr
